date,name,unit,OT
2022-06-15 17:40:00,YC0052,m5Max,364
2022-06-15 17:55:00,YC0052,m5Max,448
2022-06-15 18:10:00,YC0052,m5Max,448
2022-06-15 18:25:00,YC0052,m5Max,420
2022-06-15 18:40:00,YC0052,m5Max,364
2022-06-15 18:55:00,YC0052,m5Max,392
2022-06-15 19:10:00,YC0052,m5Max,392
2022-06-15 19:25:00,YC0052,m5Max,448
2022-06-15 19:40:00,YC0052,m5Max,476
2022-06-15 19:55:00,YC0052,m5Max,448
2022-06-15 20:10:00,YC0052,m5Max,476
2022-06-15 20:25:00,YC0052,m5Max,448
2022-06-15 20:40:00,YC0052,m5Max,448
2022-06-15 20:55:00,YC0052,m5Max,448
2022-06-15 21:10:00,YC0052,m5Max,448
2022-06-15 21:25:00,YC0052,m5Max,448
2022-06-15 21:40:00,YC0052,m5Max,476
2022-06-15 21:55:00,YC0052,m5Max,448
2022-06-15 22:10:00,YC0052,m5Max,476
2022-06-15 22:25:00,YC0052,m5Max,476
2022-06-15 22:40:00,YC0052,m5Max,476
2022-06-15 22:55:00,YC0052,m5Max,504
2022-06-15 23:10:00,YC0052,m5Max,672
2022-06-15 23:25:00,YC0052,m5Max,672
2022-06-15 23:40:00,YC0052,m5Max,644
2022-06-15 23:55:00,YC0052,m5Max,644
2022-06-16 00:10:00,YC0052,m5Max,756
2022-06-16 00:25:00,YC0052,m5Max,1064
2022-06-16 00:40:00,YC0052,m5Max,1092
2022-06-16 00:55:00,YC0052,m5Max,1260
2022-06-16 01:10:00,YC0052,m5Max,1260
2022-06-16 01:25:00,YC0052,m5Max,1512
2022-06-16 01:40:00,YC0052,m5Max,1428
2022-06-16 01:55:00,YC0052,m5Max,1512
2022-06-16 02:10:00,YC0052,m5Max,1428
2022-06-16 02:25:00,YC0052,m5Max,1316
2022-06-16 02:40:00,YC0052,m5Max,1372
2022-06-16 02:55:00,YC0052,m5Max,1260
2022-06-16 03:10:00,YC0052,m5Max,1232
2022-06-16 03:25:00,YC0052,m5Max,1260
2022-06-16 03:40:00,YC0052,m5Max,1064
2022-06-16 03:55:00,YC0052,m5Max,784
2022-06-16 04:10:00,YC0052,m5Max,812
2022-06-16 04:25:00,YC0052,m5Max,784
2022-06-16 04:40:00,YC0052,m5Max,868
2022-06-16 04:55:00,YC0052,m5Max,952
2022-06-16 05:10:00,YC0052,m5Max,784
2022-06-16 05:25:00,YC0052,m5Max,1120
2022-06-16 05:40:00,YC0052,m5Max,1204
2022-06-16 05:55:00,YC0052,m5Max,1204
2022-06-16 06:10:00,YC0052,m5Max,1120
2022-06-16 06:25:00,YC0052,m5Max,1092
2022-06-16 06:40:00,YC0052,m5Max,1232
2022-06-16 06:55:00,YC0052,m5Max,1148
2022-06-16 07:10:00,YC0052,m5Max,1204
2022-06-16 07:25:00,YC0052,m5Max,1232
2022-06-16 07:40:00,YC0052,m5Max,1176
2022-06-16 07:55:00,YC0052,m5Max,1204
2022-06-16 08:10:00,YC0052,m5Max,1288
2022-06-16 08:25:00,YC0052,m5Max,1428
2022-06-16 08:40:00,YC0052,m5Max,1344
2022-06-16 08:55:00,YC0052,m5Max,1204
2022-06-16 09:10:00,YC0052,m5Max,1260
2022-06-16 09:25:00,YC0052,m5Max,1260
2022-06-16 09:40:00,YC0052,m5Max,1092
2022-06-16 09:55:00,YC0052,m5Max,644
2022-06-16 10:10:00,YC0052,m5Max,616
2022-06-16 10:25:00,YC0052,m5Max,756
2022-06-16 10:40:00,YC0052,m5Max,812
2022-06-16 10:55:00,YC0052,m5Max,812
2022-06-16 11:10:00,YC0052,m5Max,700
2022-06-16 11:25:00,YC0052,m5Max,784
2022-06-16 11:40:00,YC0052,m5Max,756
2022-06-16 11:55:00,YC0052,m5Max,952
2022-06-16 12:10:00,YC0052,m5Max,952
2022-06-16 12:25:00,YC0052,m5Max,840
2022-06-16 12:40:00,YC0052,m5Max,924
2022-06-16 12:55:00,YC0052,m5Max,1008
2022-06-16 13:10:00,YC0052,m5Max,1092
2022-06-16 13:25:00,YC0052,m5Max,980
2022-06-16 13:40:00,YC0052,m5Max,728
2022-06-16 13:55:00,YC0052,m5Max,784
2022-06-16 14:10:00,YC0052,m5Max,756
2022-06-16 14:25:00,YC0052,m5Max,728
2022-06-16 14:40:00,YC0052,m5Max,672
2022-06-16 14:55:00,YC0052,m5Max,644
2022-06-16 15:10:00,YC0052,m5Max,1064
2022-06-16 15:25:00,YC0052,m5Max,1204
2022-06-16 15:40:00,YC0052,m5Max,1400
2022-06-16 15:55:00,YC0052,m5Max,1568
2022-06-16 16:10:00,YC0052,m5Max,1736
2022-06-16 16:25:00,YC0052,m5Max,1764
2022-06-16 16:40:00,YC0052,m5Max,1764
2022-06-16 16:55:00,YC0052,m5Max,1764
2022-06-16 17:10:00,YC0052,m5Max,1764
2022-06-16 17:25:00,YC0052,m5Max,1820
2022-06-16 17:40:00,YC0052,m5Max,1792
2022-06-16 17:55:00,YC0052,m5Max,1820
2022-06-16 18:10:00,YC0052,m5Max,1792
2022-06-16 18:25:00,YC0052,m5Max,2268
2022-06-16 18:40:00,YC0052,m5Max,2548
2022-06-16 18:55:00,YC0052,m5Max,2716
2022-06-16 19:10:00,YC0052,m5Max,2744
2022-06-16 19:25:00,YC0052,m5Max,2772
2022-06-16 19:40:00,YC0052,m5Max,2772
2022-06-16 19:55:00,YC0052,m5Max,2772
2022-06-16 20:10:00,YC0052,m5Max,2744
2022-06-16 20:25:00,YC0052,m5Max,2772
2022-06-16 20:40:00,YC0052,m5Max,2716
2022-06-16 20:55:00,YC0052,m5Max,2716
2022-06-16 21:10:00,YC0052,m5Max,2744
2022-06-16 21:25:00,YC0052,m5Max,2828
2022-06-16 21:40:00,YC0052,m5Max,2800
2022-06-16 21:55:00,YC0052,m5Max,3108
2022-06-16 22:10:00,YC0052,m5Max,3444
2022-06-16 22:25:00,YC0052,m5Max,2828
2022-06-16 22:40:00,YC0052,m5Max,2800
2022-06-16 22:55:00,YC0052,m5Max,2884
2022-06-16 23:10:00,YC0052,m5Max,2744
2022-06-16 23:25:00,YC0052,m5Max,2744
2022-06-16 23:40:00,YC0052,m5Max,2716
2022-06-16 23:55:00,YC0052,m5Max,2772
2022-06-17 00:10:00,YC0052,m5Max,3388
2022-06-17 00:25:00,YC0052,m5Max,3696
2022-06-17 00:40:00,YC0052,m5Max,4060
2022-06-17 00:55:00,YC0052,m5Max,4228
2022-06-17 01:10:00,YC0052,m5Max,4676
2022-06-17 01:25:00,YC0052,m5Max,4928
2022-06-17 01:40:00,YC0052,m5Max,4844
2022-06-17 01:55:00,YC0052,m5Max,4480
2022-06-17 02:10:00,YC0052,m5Max,4732
2022-06-17 02:25:00,YC0052,m5Max,5264
2022-06-17 02:40:00,YC0052,m5Max,5320
2022-06-17 02:55:00,YC0052,m5Max,5404
2022-06-17 03:10:00,YC0052,m5Max,5432
2022-06-17 03:25:00,YC0052,m5Max,5152
2022-06-17 03:40:00,YC0052,m5Max,5012
2022-06-17 03:55:00,YC0052,m5Max,4788
2022-06-17 04:10:00,YC0052,m5Max,4816
2022-06-17 04:25:00,YC0052,m5Max,4900
2022-06-17 04:40:00,YC0052,m5Max,4928
2022-06-17 04:55:00,YC0052,m5Max,5068
2022-06-17 05:10:00,YC0052,m5Max,5068
2022-06-17 05:25:00,YC0052,m5Max,5320
2022-06-17 05:40:00,YC0052,m5Max,5488
2022-06-17 05:55:00,YC0052,m5Max,5292
2022-06-17 06:10:00,YC0052,m5Max,5320
2022-06-17 06:25:00,YC0052,m5Max,5348
2022-06-17 06:40:00,YC0052,m5Max,5292
2022-06-17 06:55:00,YC0052,m5Max,5208
2022-06-17 07:10:00,YC0052,m5Max,4956
2022-06-17 07:25:00,YC0052,m5Max,4844
2022-06-17 07:40:00,YC0052,m5Max,4872
2022-06-17 07:55:00,YC0052,m5Max,4312
2022-06-17 08:10:00,YC0052,m5Max,3808
2022-06-17 08:25:00,YC0052,m5Max,3864
2022-06-17 08:40:00,YC0052,m5Max,3780
2022-06-17 08:55:00,YC0052,m5Max,3640
2022-06-17 09:10:00,YC0052,m5Max,3444
2022-06-17 09:25:00,YC0052,m5Max,3332
2022-06-17 09:40:00,YC0052,m5Max,3248
2022-06-17 09:55:00,YC0052,m5Max,3136
2022-06-17 10:10:00,YC0052,m5Max,3164
2022-06-17 10:25:00,YC0052,m5Max,3164
